"page_url","image_src","alt","img_tag"
"https://dongyandesign.cn/","/assets/logo/dong-design-wordmark-light.png","董揅设计品牌标识，室内空间与方案设计","<img src=""/assets/logo/dong-design-wordmark-light.png"" alt=""董揅设计品牌标识，室内空间与方案设计"" loading=""lazy"" decoding=""async"" />"
"https://dongyandesign.cn/#contact","/assets/images/qr-contact-light.png","董揅设计咨询微信二维码","<img src=""/assets/images/qr-contact-light.png"" alt=""董揅设计咨询微信二维码"" loading=""lazy"" decoding=""async"" />"
"https://dongyandesign.cn/cases/space-001","/assets/photos/32/03778B94-D40C-4256-991A-AA0CE21DF340.webp","自然序曲私宅设计空间案例第1张，展示上海 · 静安住宅的光线、材质、比例与生活场景","<img src=""/assets/photos/32/03778B94-D40C-4256-991A-AA0CE21DF340.webp"" alt=""自然序曲私宅设计空间案例第1张，展示上海 · 静安住宅的光线、材质、比例与生活场景"" loading=""lazy"" decoding=""async"" />"
"https://dongyandesign.cn/cases/space-001","/assets/photos/32/262D37B7-933E-42D3-B328-356168A7E261.webp","自然序曲私宅设计空间案例第2张，展示上海 · 静安住宅的光线、材质、比例与生活场景","<img src=""/assets/photos/32/262D37B7-933E-42D3-B328-356168A7E261.webp"" alt=""自然序曲私宅设计空间案例第2张，展示上海 · 静安住宅的光线、材质、比例与生活场景"" loading=""lazy"" decoding=""async"" />"
"https://dongyandesign.cn/cases/space-001","/assets/photos/32/2E665617-915C-4A78-A13E-294DA169577A.webp","自然序曲私宅设计空间案例第3张，展示上海 · 静安住宅的光线、材质、比例与生活场景","<img src=""/assets/photos/32/2E665617-915C-4A78-A13E-294DA169577A.webp"" alt=""自然序曲私宅设计空间案例第3张，展示上海 · 静安住宅的光线、材质、比例与生活场景"" loading=""lazy"" decoding=""async"" />"
"https://dongyandesign.cn/cases/space-001","/assets/photos/32/369473E6-2D70-4C67-A9D8-5B15F032D920.webp","自然序曲私宅设计空间案例第4张，展示上海 · 静安住宅的光线、材质、比例与生活场景","<img src=""/assets/photos/32/369473E6-2D70-4C67-A9D8-5B15F032D920.webp"" alt=""自然序曲私宅设计空间案例第4张，展示上海 · 静安住宅的光线、材质、比例与生活场景"" loading=""lazy"" decoding=""async"" />"
"https://dongyandesign.cn/cases/space-001","/assets/photos/32/3967872F-2CA1-4324-AE47-6A4E70EA21A6.webp","自然序曲私宅设计空间案例第5张，展示上海 · 静安住宅的光线、材质、比例与生活场景","<img src=""/assets/photos/32/3967872F-2CA1-4324-AE47-6A4E70EA21A6.webp"" alt=""自然序曲私宅设计空间案例第5张，展示上海 · 静安住宅的光线、材质、比例与生活场景"" loading=""lazy"" decoding=""async"" />"
"https://dongyandesign.cn/cases/space-001","/assets/photos/32/3CAD64A8-51E0-40D4-8F87-FE240DEDA22A.webp","自然序曲私宅设计空间案例第6张，展示上海 · 静安住宅的光线、材质、比例与生活场景","<img src=""/assets/photos/32/3CAD64A8-51E0-40D4-8F87-FE240DEDA22A.webp"" alt=""自然序曲私宅设计空间案例第6张，展示上海 · 静安住宅的光线、材质、比例与生活场景"" loading=""lazy"" decoding=""async"" />"
"https://dongyandesign.cn/cases/space-001","/assets/photos/32/5F820263-0B5C-4F9D-89A1-228984279CC0.webp","自然序曲私宅设计空间案例第7张，展示上海 · 静安住宅的光线、材质、比例与生活场景","<img src=""/assets/photos/32/5F820263-0B5C-4F9D-89A1-228984279CC0.webp"" alt=""自然序曲私宅设计空间案例第7张，展示上海 · 静安住宅的光线、材质、比例与生活场景"" loading=""lazy"" decoding=""async"" />"
"https://dongyandesign.cn/cases/space-001","/assets/photos/32/63A3BCF0-AB57-4D25-937E-B686D0BE9356.webp","自然序曲私宅设计空间案例第8张，展示上海 · 静安住宅的光线、材质、比例与生活场景","<img src=""/assets/photos/32/63A3BCF0-AB57-4D25-937E-B686D0BE9356.webp"" alt=""自然序曲私宅设计空间案例第8张，展示上海 · 静安住宅的光线、材质、比例与生活场景"" loading=""lazy"" decoding=""async"" />"
"https://dongyandesign.cn/cases/space-001","/assets/photos/32/698CA023-8BDE-4FDE-AD4D-F5934E1BCA65.webp","自然序曲私宅设计空间案例第9张，展示上海 · 静安住宅的光线、材质、比例与生活场景","<img src=""/assets/photos/32/698CA023-8BDE-4FDE-AD4D-F5934E1BCA65.webp"" alt=""自然序曲私宅设计空间案例第9张，展示上海 · 静安住宅的光线、材质、比例与生活场景"" loading=""lazy"" decoding=""async"" />"
"https://dongyandesign.cn/cases/space-001","/assets/photos/32/6C645D01-6F2D-47E8-9D7D-E3EDDE0C46C2.webp","自然序曲私宅设计空间案例第10张，展示上海 · 静安住宅的光线、材质、比例与生活场景","<img src=""/assets/photos/32/6C645D01-6F2D-47E8-9D7D-E3EDDE0C46C2.webp"" alt=""自然序曲私宅设计空间案例第10张，展示上海 · 静安住宅的光线、材质、比例与生活场景"" loading=""lazy"" decoding=""async"" />"
"https://dongyandesign.cn/cases/space-001","/assets/photos/32/7E19C8CE-BBB1-44F8-ABBC-294FDBBA5E69.webp","自然序曲私宅设计空间案例第11张，展示上海 · 静安住宅的光线、材质、比例与生活场景","<img src=""/assets/photos/32/7E19C8CE-BBB1-44F8-ABBC-294FDBBA5E69.webp"" alt=""自然序曲私宅设计空间案例第11张，展示上海 · 静安住宅的光线、材质、比例与生活场景"" loading=""lazy"" decoding=""async"" />"
"https://dongyandesign.cn/cases/space-001","/assets/photos/32/832DD710-4BE1-4EC3-8BE8-EDB7F4879C02.webp","自然序曲私宅设计空间案例第12张，展示上海 · 静安住宅的光线、材质、比例与生活场景","<img src=""/assets/photos/32/832DD710-4BE1-4EC3-8BE8-EDB7F4879C02.webp"" alt=""自然序曲私宅设计空间案例第12张，展示上海 · 静安住宅的光线、材质、比例与生活场景"" loading=""lazy"" decoding=""async"" />"
"https://dongyandesign.cn/cases/space-001","/assets/photos/32/90BCBF67-4E09-42E7-80B7-18D04951E4EE.webp","自然序曲私宅设计空间案例第13张，展示上海 · 静安住宅的光线、材质、比例与生活场景","<img src=""/assets/photos/32/90BCBF67-4E09-42E7-80B7-18D04951E4EE.webp"" alt=""自然序曲私宅设计空间案例第13张，展示上海 · 静安住宅的光线、材质、比例与生活场景"" loading=""lazy"" decoding=""async"" />"
"https://dongyandesign.cn/cases/space-001","/assets/photos/32/91122E8E-2ED4-4096-BDED-110720531E0B.webp","自然序曲私宅设计空间案例第14张，展示上海 · 静安住宅的光线、材质、比例与生活场景","<img src=""/assets/photos/32/91122E8E-2ED4-4096-BDED-110720531E0B.webp"" alt=""自然序曲私宅设计空间案例第14张，展示上海 · 静安住宅的光线、材质、比例与生活场景"" loading=""lazy"" decoding=""async"" />"
"https://dongyandesign.cn/cases/space-001","/assets/photos/32/97E5C230-4F9D-457E-92FE-9A74EE71173E.webp","自然序曲私宅设计空间案例第15张，展示上海 · 静安住宅的光线、材质、比例与生活场景","<img src=""/assets/photos/32/97E5C230-4F9D-457E-92FE-9A74EE71173E.webp"" alt=""自然序曲私宅设计空间案例第15张，展示上海 · 静安住宅的光线、材质、比例与生活场景"" loading=""lazy"" decoding=""async"" />"
"https://dongyandesign.cn/cases/space-001","/assets/photos/32/9E23A26A-C51D-4F2A-B1F6-82B38E410D16.webp","自然序曲私宅设计空间案例第16张，展示上海 · 静安住宅的光线、材质、比例与生活场景","<img src=""/assets/photos/32/9E23A26A-C51D-4F2A-B1F6-82B38E410D16.webp"" alt=""自然序曲私宅设计空间案例第16张，展示上海 · 静安住宅的光线、材质、比例与生活场景"" loading=""lazy"" decoding=""async"" />"
